strain,date,subgroup
leaf_0,349.409232171575,A
leaf_1,347.36031785032,C
leaf_2,319.796853971627,A
leaf_3,290.291935504066,B
leaf_4,289.308050705084,B
leaf_5,288.993716329686,A
leaf_6,283.900238526097,B
leaf_7,281.51648169234,C
leaf_8,276.407585766796,B
leaf_9,276.283589783492,B
leaf_10,276.262403789114,A
leaf_11,275.371743994181,C
leaf_12,274.03593791723,C
leaf_13,272.452806456228,B
leaf_14,269.559853735112,B
leaf_15,266.588672873123,B
leaf_16,265.790806906862,B
leaf_17,264.820880808465,C
leaf_18,263.798732461705,C
leaf_19,263.279130009284,A
leaf_20,262.705342689076,C
leaf_21,261.753367700871,B
leaf_22,260.920831096484,C
leaf_23,259.935524790106,C
leaf_24,258.167698934142,A
leaf_25,255.482440388796,A
leaf_26,254.518939310723,B
leaf_27,254.291289949823,B
leaf_28,253.220645528626,B
leaf_29,252.463446656962,A
leaf_30,251.230565783163,C
leaf_31,250.814949407482,B
leaf_32,249.983411540039,C
leaf_33,249.870394626354,B
leaf_34,249.415545978592,C
leaf_35,249.041209630605,B
leaf_36,246.978723911614,C
leaf_37,246.847898214914,B
leaf_38,245.760197139266,B
leaf_39,245.275680555573,C
leaf_40,245.261873814577,B
leaf_41,245.113121469489,A
leaf_42,244.655981694315,B
leaf_43,244.629451542815,B
leaf_44,244.003469270086,C
leaf_45,243.983502083451,A
leaf_46,243.920966153421,B
leaf_47,243.148006703869,B
leaf_48,242.531034616552,A
leaf_49,241.347050732739,B
leaf_50,241.166685846585,C
leaf_51,241.043190885629,A
leaf_52,240.926535568425,A
leaf_53,240.505645982296,B
leaf_54,240.491277916306,C
leaf_55,240.396987652156,B
leaf_56,240.371524929737,B
leaf_57,240.33502629021,A
leaf_58,238.709373266438,B
leaf_59,238.633566574441,A
leaf_60,238.630874330335,C
leaf_61,238.182062093709,B
leaf_62,237.692180873399,B
leaf_63,237.496441478258,B
leaf_64,236.839585413657,B
leaf_65,236.703043458215,B
leaf_66,236.208387319425,B
leaf_67,235.869741789609,A
leaf_68,235.814205129116,C
leaf_69,235.113958742386,B
leaf_70,234.568874162294,B
leaf_71,234.312102903154,C
leaf_72,234.142633972832,C
leaf_73,234.008712381945,C
leaf_74,233.941252386462,A
leaf_75,233.870988067746,A
leaf_76,233.856671627361,A
leaf_77,233.750924897054,A
leaf_78,233.226767906004,B
leaf_79,233.113390883982,B
leaf_80,233.07221551125,C
leaf_81,232.71463454275,B
leaf_82,232.684176796142,C
leaf_83,232.612941701485,C
leaf_84,231.286988507819,B
leaf_85,231.205277467104,B
leaf_86,231.200223788755,B
leaf_87,231.178009902078,C
leaf_88,230.796870069293,C
leaf_89,230.68151730191,A
leaf_90,230.501505070474,B
leaf_91,230.471757760804,B
leaf_92,230.167517273572,C
leaf_93,230.010973021976,A
leaf_94,229.436807931523,B
leaf_95,229.395109021303,A
leaf_96,228.716114704839,C
leaf_97,228.68640925267,B
leaf_98,228.677115526098,A
leaf_99,228.629077038701,B
leaf_100,228.55513490359,C
leaf_101,228.500781348167,B
leaf_102,228.422581680444,C
leaf_103,228.328421490833,C
leaf_104,227.96270475852,A
leaf_105,227.886387489625,B
leaf_106,227.78639749827,A
leaf_107,227.542918897268,C
leaf_108,227.493336367252,B
leaf_109,227.396122923934,B
leaf_110,227.305739948938,B
leaf_111,227.235221402716,B
leaf_112,227.215461667977,A
leaf_113,227.187766963488,C
leaf_114,227.176158956421,B
leaf_115,226.901709160536,C
leaf_116,226.795818676696,A
leaf_117,226.633228677513,C
leaf_118,226.544103388967,A
leaf_119,226.52552035117,C
leaf_120,226.4498551039,B
leaf_121,226.285752653406,A
leaf_122,225.762892381656,C
leaf_123,225.692567635579,B
leaf_124,225.594006929883,C
leaf_125,225.540344084029,B
leaf_126,225.523726530681,A
leaf_127,225.487444904276,A
leaf_128,225.290974692582,B
leaf_129,225.214988687785,B
leaf_130,225.116522001631,A
leaf_131,225.083464163538,A
leaf_132,224.802423536731,B
leaf_133,224.739436110438,A
leaf_134,224.707169798838,A
leaf_135,224.510146254362,C
leaf_136,224.498984425673,A
leaf_137,224.466166034086,C
leaf_138,224.347257944428,B
leaf_139,224.051917895801,A
leaf_140,223.900051071584,B
leaf_141,223.843827329743,B
leaf_142,223.832763437051,A
leaf_143,223.796821300806,C
leaf_144,223.76500122639,B
leaf_145,223.69841426811,A
leaf_146,223.696517063981,A
leaf_147,223.693895975222,B
leaf_148,223.584619636569,C
leaf_149,223.371157607485,A
leaf_150,223.259020197247,B
leaf_151,223.234724603982,A
leaf_152,223.18471621379,B
leaf_153,222.776670437206,C
leaf_154,222.616203706274,A
leaf_155,222.478092226383,B
leaf_156,222.42372366373,A
leaf_157,222.40864763461,A
leaf_158,222.266344385624,B
leaf_159,222.211655750357,C
leaf_160,222.205565335826,B
leaf_161,222.173597441166,C
leaf_162,222.129580906157,B
leaf_163,221.778668830148,B
leaf_164,221.565089813136,A
leaf_165,221.507227232657,B
leaf_166,221.370861232216,A
leaf_167,221.341690861405,B
leaf_168,221.1901241704,A
leaf_169,221.012693338973,B
leaf_170,220.973952294904,B
leaf_171,220.747258701107,B
leaf_172,220.577703162625,A
leaf_173,220.537614034338,B
leaf_174,220.45206288457,C
leaf_175,220.359081091573,A
leaf_176,220.341605758797,B
leaf_177,220.2751571982,B
leaf_178,220.109176232091,B
leaf_179,219.9793854882,A
leaf_180,219.837585241175,B
leaf_181,219.807363973355,B
leaf_182,219.706712453752,C
leaf_183,219.666083128789,B
leaf_184,219.605756944399,B
leaf_185,219.59209737173,C
leaf_186,219.455464323148,C
leaf_187,219.444703257976,B
leaf_188,219.409574574926,B
leaf_189,219.271243966549,A
leaf_190,219.012821631146,B
leaf_191,218.999957417782,B
leaf_192,218.940742358961,B
leaf_193,218.927118784906,A
leaf_194,218.727693903071,C
leaf_195,218.601430773055,B
leaf_196,218.57175220135,A
leaf_197,218.502768910317,B
leaf_198,218.418388148124,A
leaf_199,218.365206104839,A
leaf_200,218.156402908762,C
leaf_201,218.064111318845,C
leaf_202,218.043095719975,B
leaf_203,218.011679354615,B
leaf_204,217.77592557629,A
leaf_205,217.679432635857,B
leaf_206,217.604236836655,B
leaf_207,217.580827080736,B
leaf_208,217.560406088792,B
leaf_209,217.42722214503,C
leaf_210,217.30388904284,A
leaf_211,217.212018262128,B
leaf_212,217.07198099544,B
leaf_213,217.049109250036,A
leaf_214,217.039437258517,C
leaf_215,216.855085002207,A
leaf_216,216.76094968417,B
leaf_217,216.623170737653,B
leaf_218,216.61830784853,B
leaf_219,216.530123340064,C
leaf_220,216.396268086875,A
leaf_221,216.390736829044,C
leaf_222,216.2331532961,C
leaf_223,216.2131618563,B
leaf_224,216.210144203109,A
leaf_225,216.103684761147,C
leaf_226,216.077133214039,B
leaf_227,216.042866496891,B
leaf_228,216.007340964027,A
leaf_229,215.975510779251,B
leaf_230,215.961595031712,A
leaf_231,215.82404012714,C
leaf_232,215.757914605168,A
leaf_233,215.3935876798,A
leaf_234,215.225709122337,B
leaf_235,215.153766965859,A
leaf_236,215.152809028349,B
leaf_237,215.042195244152,A
leaf_238,214.854871965866,B
leaf_239,214.81962665789,B
leaf_240,214.788454821968,A
leaf_241,214.728988867328,B
leaf_242,214.681509535794,A
leaf_243,214.643379441026,B
leaf_244,214.622773248968,C
leaf_245,214.531311324339,C
leaf_246,214.524349831824,A
leaf_247,214.50885350715,B
leaf_248,214.503995032049,C
leaf_249,214.32352352136,C
leaf_250,214.185472240136,B
leaf_251,214.135756384515,B
leaf_252,214.120374358495,C
leaf_253,213.88960602631,B
leaf_254,213.847441885097,C
leaf_255,213.710880346913,A
leaf_256,213.705060524898,B
leaf_257,213.669843893979,A
leaf_258,213.669138730808,B
leaf_259,213.431740853428,A
leaf_260,213.422058516167,B
leaf_261,213.415845987505,C
leaf_262,213.372637371958,C
leaf_263,213.293733220657,B
leaf_264,213.272406714223,B
leaf_265,213.14120543733,C
leaf_266,213.058021373189,C
leaf_267,212.795787022443,B
leaf_268,212.598951903605,B
leaf_269,212.584791912505,A
leaf_270,212.538879724072,B
leaf_271,212.496755107014,C
leaf_272,212.488421289946,B
leaf_273,212.24732540432,B
leaf_274,212.191108925277,B
leaf_275,212.10908482268,B
leaf_276,211.906004790728,B
leaf_277,211.844819593173,C
leaf_278,211.755054533517,C
leaf_279,211.699145582728,C
leaf_280,211.51851065297,B
leaf_281,211.315636283456,C
leaf_282,211.208980076714,A
leaf_283,211.192964209047,A
leaf_284,211.088343863031,B
leaf_285,211.070730433781,C
leaf_286,211.003521430091,C
leaf_287,210.87817066831,B
leaf_288,210.655046461894,C
leaf_289,210.530785145368,B
leaf_290,210.465124542705,B
leaf_291,210.375037995979,A
leaf_292,210.295046390153,A
leaf_293,210.238118458759,C
leaf_294,210.19374391944,B
leaf_295,210.156049251668,B
leaf_296,210.056329011086,C
leaf_297,209.966251665728,B
leaf_298,209.8906908757,A
leaf_299,209.841095620689,C
leaf_300,209.73010900019,C
leaf_301,209.647605563659,C
leaf_302,209.633093195695,C
leaf_303,209.608125875471,B
leaf_304,209.553213758191,A
leaf_305,209.473301571018,B
leaf_306,209.425331738587,A
leaf_307,209.279436646491,B
leaf_308,209.278761851606,A
leaf_309,209.25551349316,A
leaf_310,208.934525335554,A
leaf_311,208.830651345266,B
leaf_312,208.721944486146,C
leaf_313,208.714188398485,B
leaf_314,208.682419257325,C
leaf_315,208.577666745647,A
leaf_316,208.552054936843,B
leaf_317,208.522835590666,A
leaf_318,208.349109927743,B
leaf_319,208.339304678223,C
leaf_320,208.145729073196,B
leaf_321,208.087912423606,B
leaf_322,208.013856342453,A
leaf_323,207.930448950412,B
leaf_324,207.908515030431,C
leaf_325,207.893891828278,A
leaf_326,207.873706263899,B
leaf_327,207.865191675263,B
leaf_328,207.702280585009,B
leaf_329,207.69050658039,B
leaf_330,207.637640359342,C
leaf_331,207.620470552966,B
leaf_332,207.588532768488,B
leaf_333,207.483072975159,A
leaf_334,207.447078972102,C
leaf_335,207.405372821189,B
leaf_336,207.187749514011,B
leaf_337,207.175497502128,B
leaf_338,206.926371998464,A
leaf_339,206.85761920224,B
leaf_340,206.857420103642,B
leaf_341,206.747444506194,A
leaf_342,206.711264082466,B
leaf_343,206.431074736613,C
leaf_344,206.385053861044,A
leaf_345,206.379942724055,B
leaf_346,206.294417829742,B
leaf_347,206.233483885346,B
leaf_348,206.175891563656,A
leaf_349,206.047615802048,C
leaf_350,205.981355098385,C
leaf_351,205.947351103509,B
leaf_352,205.823581037153,B
leaf_353,205.818346733897,B
leaf_354,205.790724617128,A
leaf_355,205.780303582909,B
leaf_356,205.695053289129,B
leaf_357,205.689819139917,B
leaf_358,205.427032647098,C
leaf_359,205.397933178654,C
leaf_360,205.384753064844,B
leaf_361,205.321434960016,C
leaf_362,205.254408651976,B
leaf_363,205.203272549035,C
leaf_364,205.15436958682,B
leaf_365,205.149613472675,C
leaf_366,204.903731288287,C
leaf_367,204.896436669137,B
leaf_368,204.881765276729,C
leaf_369,204.833133326195,B
leaf_370,204.809123829245,A
leaf_371,204.772366789332,A
leaf_372,204.764574713106,A
leaf_373,204.73322508763,B
leaf_374,204.714643826316,B
leaf_375,204.48774050685,B
leaf_376,204.445002704122,A
leaf_377,204.409939562797,B
leaf_378,204.389572710812,A
leaf_379,204.300126757603,C
leaf_380,204.19245354206,A
leaf_381,204.15021955825,B
leaf_382,204.143455104975,B
leaf_383,204.072891043796,C
leaf_384,204.040774585541,B
leaf_385,203.916067731753,B
leaf_386,203.886686355823,B
leaf_387,203.878764214909,B
leaf_388,203.86085355965,B
leaf_389,203.828511848825,C
leaf_390,203.720698043743,B
leaf_391,203.694661499187,B
leaf_392,203.661466552804,B
leaf_393,203.644361734099,C
leaf_394,203.624314220958,B
leaf_395,203.623702084095,B
leaf_396,203.481262945355,B
leaf_397,203.473116375855,C
leaf_398,203.453338972506,B
leaf_399,203.406235743119,C
leaf_400,203.391040503492,A
leaf_401,203.333313802067,B
leaf_402,203.28472413923,C
leaf_403,203.19755046536,C
leaf_404,203.150779361412,C
leaf_405,203.138406078489,A
leaf_406,203.053957515159,A
leaf_407,203.046851890435,B
leaf_408,203.00811920718,A
leaf_409,202.98060455033,A
leaf_410,202.895935695746,A
leaf_411,202.851239157387,B
leaf_412,202.849148361735,C
leaf_413,202.843853585709,C
leaf_414,202.84151244936,B
leaf_415,202.801101068667,B
leaf_416,202.70717869566,C
leaf_417,202.673828973584,A
leaf_418,202.664444067707,A
leaf_419,202.634106810697,C
leaf_420,202.633875590207,A
leaf_421,202.583026154966,B
leaf_422,202.569243972442,C
leaf_423,202.440704079513,C
leaf_424,202.431812984848,B
leaf_425,202.300640459683,B
leaf_426,202.270261991476,B
leaf_427,202.191463868344,A
leaf_428,202.146082801919,A
leaf_429,202.12138012791,B
leaf_430,201.962444160577,A
leaf_431,201.95183307967,B
leaf_432,201.94867311877,B
leaf_433,201.910812935994,B
leaf_434,201.9070876605,A
leaf_435,201.705509403865,B
leaf_436,201.67895495834,A
leaf_437,201.63013835527,A
leaf_438,201.627818978455,C
leaf_439,201.553033982945,B
leaf_440,201.437954172267,A
leaf_441,201.430476872428,B
leaf_442,201.368303592754,C
leaf_443,201.366688037791,C
leaf_444,201.361099150284,C
leaf_445,201.265746747908,A
leaf_446,201.245891741488,B
leaf_447,201.18678008036,B
leaf_448,201.144719607551,B
leaf_449,201.144518572021,C
leaf_450,201.01145741525,A
leaf_451,200.993845105746,C
leaf_452,200.908198413593,B
leaf_453,200.816919839617,B
leaf_454,200.807368506165,A
leaf_455,200.706981884612,B
leaf_456,200.687760039946,A
leaf_457,200.678519022618,B
leaf_458,200.609278249525,C
leaf_459,200.608276703601,A
leaf_460,200.604449549561,B
leaf_461,200.573834118219,B
leaf_462,200.552024147278,A
leaf_463,200.502681731341,C
leaf_464,200.499439408378,B
leaf_465,200.43965151634,B
leaf_466,200.438604135543,A
leaf_467,200.140176601592,A
leaf_468,200.077838191991,B
leaf_469,199.999247167949,B
leaf_470,199.96371239418,B
leaf_471,199.911211225455,C
leaf_472,199.884036392248,B
leaf_473,199.861504079807,B
leaf_474,199.833557800483,B
leaf_475,199.826418656574,C
leaf_476,199.819019032288,B
leaf_477,199.763570716809,A
leaf_478,199.70640783152,A
leaf_479,199.683366172504,A
leaf_480,199.63740753518,B
leaf_481,199.620724021793,C
leaf_482,199.578383922689,A
leaf_483,199.541040901506,B
leaf_484,199.516488246448,B
leaf_485,199.507185074115,B
leaf_486,199.480283386063,B
leaf_487,199.439985504634,C
leaf_488,199.398439828165,C
leaf_489,199.376949643232,C
leaf_490,199.363150404752,B
leaf_491,199.243156434168,A
leaf_492,199.241027021886,C
leaf_493,199.118157912228,B
leaf_494,199.079462115271,A
leaf_495,198.968091582411,C
leaf_496,198.965664495842,C
leaf_497,198.963267470772,A
leaf_498,198.927831930834,A
leaf_499,198.926399012606,B
leaf_500,198.89753245998,C
leaf_501,198.79941321178,A
leaf_502,198.770135285199,A
leaf_503,198.766308528132,B
leaf_504,198.764957957227,A
leaf_505,198.62074795671,C
leaf_506,198.611689178457,B
leaf_507,198.529671902911,A
leaf_508,198.4977577892,A
leaf_509,198.417844894422,B
leaf_510,198.333501417138,C
leaf_511,198.294906607202,B
leaf_512,198.26788053318,B
leaf_513,198.126109928444,C
leaf_514,198.103890634007,B
leaf_515,198.0751875942,C
leaf_516,198.066104633974,C
leaf_517,198.012716297927,B
leaf_518,197.997361175976,A
leaf_519,197.995504684067,C
leaf_520,197.96565392025,C
leaf_521,197.95768738649,B
leaf_522,197.91655070549,A
leaf_523,197.86472554663,A
leaf_524,197.861905382859,C
leaf_525,197.857750208687,B
leaf_526,197.793602431797,B
leaf_527,197.793214603209,A
leaf_528,197.786119384974,B
leaf_529,197.752568285883,B
leaf_530,197.706781287669,B
leaf_531,197.692452435646,C
leaf_532,197.584251515399,B
leaf_533,197.550456872812,B
leaf_534,197.48205951557,B
leaf_535,197.238369615757,B
leaf_536,197.202640811338,C
leaf_537,197.179923210705,A
leaf_538,197.162441941495,A
leaf_539,197.126941862999,C
leaf_540,197.109801245124,A
leaf_541,197.099628141679,C
leaf_542,197.083635633075,A
leaf_543,197.040436564103,A
leaf_544,196.98332557166,C
leaf_545,196.976895892638,B
leaf_546,196.868204844902,C
leaf_547,196.851489144239,B
leaf_548,196.847676208408,B
leaf_549,196.786716519664,A
leaf_550,196.743040680904,C
leaf_551,196.733044126349,A
leaf_552,196.661739018911,B
leaf_553,196.634088732609,C
leaf_554,196.57643525996,A
leaf_555,196.492357670711,C
leaf_556,196.423428187718,A
leaf_557,196.389078354583,B
leaf_558,196.382854767079,A
leaf_559,196.321500264608,C
leaf_560,196.316432108808,A
leaf_561,196.293506704665,B
leaf_562,196.267159485711,A
leaf_563,196.225755267389,C
leaf_564,196.018075701602,B
leaf_565,195.958772879117,C
leaf_566,195.89672561701,B
leaf_567,195.86832153968,B
leaf_568,195.861674153417,A
leaf_569,195.81439333955,B
leaf_570,195.776175877083,B
leaf_571,195.734814344755,C
leaf_572,195.724378179935,B
leaf_573,195.69818969013,B
leaf_574,195.678632175097,C
leaf_575,195.67602809761,A
leaf_576,195.632245306438,A
leaf_577,195.597028604813,B
leaf_578,195.587822844609,B
leaf_579,195.581888101676,B
leaf_580,195.555042682764,B
leaf_581,195.548976756709,C
leaf_582,195.522296945349,A
leaf_583,195.471376719912,C
leaf_584,195.46677834676,B
leaf_585,195.453886087742,C
leaf_586,195.371278318563,B
leaf_587,195.319271113184,C
leaf_588,195.245994243004,C
leaf_589,195.222299677933,B
leaf_590,195.219825427119,B
leaf_591,195.127678835786,B
leaf_592,195.122084732918,A
leaf_593,195.081634917302,B
leaf_594,195.051146049367,B
leaf_595,195.042545003817,B
leaf_596,195.02722373033,A
leaf_597,195.007458991391,B
leaf_598,194.988857961521,B
leaf_599,194.983985981502,B
leaf_600,194.957047778741,B
leaf_601,194.858369470117,C
leaf_602,194.84560389268,B
leaf_603,194.820190425527,B
leaf_604,194.782065623203,A
leaf_605,194.771033775618,B
leaf_606,194.717753775005,B
leaf_607,194.700465508335,B
leaf_608,194.682261783426,B
leaf_609,194.655385231589,C
leaf_610,194.472249806514,B
leaf_611,194.442858380914,B
leaf_612,194.365635468178,B
leaf_613,194.352926160406,A
leaf_614,194.315452845834,C
leaf_615,194.290936671441,C
leaf_616,194.289761064385,C
leaf_617,194.284066347195,B
leaf_618,194.275046288462,C
leaf_619,194.259172837247,C
leaf_620,194.226051382313,C
leaf_621,194.21216355617,B
leaf_622,194.187830680565,B
leaf_623,194.151614914276,C
leaf_624,194.124895951577,B
leaf_625,193.998130909516,B
leaf_626,193.937019162814,B
leaf_627,193.916430892396,C
leaf_628,193.886820015009,C
leaf_629,193.884597076124,B
leaf_630,193.869593024937,B
leaf_631,193.857573698256,B
leaf_632,193.802557597251,A
leaf_633,193.711443672888,B
leaf_634,193.705328322809,B
leaf_635,193.680237364541,B
leaf_636,193.678869554077,B
leaf_637,193.661984615513,B
leaf_638,193.652463769651,B
leaf_639,193.647243276686,A
leaf_640,193.641568483171,A
leaf_641,193.631862973829,A
leaf_642,193.612824425867,C
leaf_643,193.612022068342,C
leaf_644,193.606617370815,C
leaf_645,193.606334104422,C
leaf_646,193.516948970833,C
leaf_647,193.492860675796,B
leaf_648,193.449274657155,A
leaf_649,193.426642231329,C
leaf_650,193.397437433811,A
leaf_651,193.371322867315,B
leaf_652,193.363092967303,B
leaf_653,193.339524660467,A
leaf_654,193.226705431442,A
leaf_655,193.219115869343,A
leaf_656,193.183963862547,B
leaf_657,193.140737783266,C
leaf_658,193.110847474126,A
leaf_659,193.101692659026,B
leaf_660,193.0452960631,A
leaf_661,192.978790497945,A
leaf_662,192.934923061002,C
leaf_663,192.931668035415,A
leaf_664,192.850367675706,A
leaf_665,192.691235298287,B
leaf_666,192.688096496769,A
leaf_667,192.658809603816,A
leaf_668,192.651116652499,A
leaf_669,192.645394786365,B
leaf_670,192.59932482355,A
leaf_671,192.570412913878,C
leaf_672,192.532106828526,A
leaf_673,192.521089111547,B
leaf_674,192.518484304227,A
leaf_675,192.49521868311,B
leaf_676,192.494622219634,C
leaf_677,192.454406430569,B
leaf_678,192.436376465574,B
leaf_679,192.271637407612,B
leaf_680,192.262537242038,A
leaf_681,192.238184142554,C
leaf_682,192.201965759378,B
leaf_683,192.158711727014,B
leaf_684,192.156962961562,A
leaf_685,192.146147190007,B
leaf_686,192.130696339083,B
leaf_687,192.12722257143,A
leaf_688,192.072796932422,C
leaf_689,192.065080413927,C
leaf_690,192.06492956583,C
leaf_691,192.029314538663,C
leaf_692,191.92116166837,C
leaf_693,191.894884689807,C
leaf_694,191.872858568428,A
leaf_695,191.843755472755,B
leaf_696,191.767644905759,A
leaf_697,191.746081347472,C
leaf_698,191.732695944526,B
leaf_699,191.73122194253,A
leaf_700,191.704625542894,C
leaf_701,191.547790717613,A
leaf_702,191.527871519469,B
leaf_703,191.511836402133,C
leaf_704,191.487466207078,A
leaf_705,191.396862704916,A
leaf_706,191.396157262807,B
leaf_707,191.396144010033,B
leaf_708,191.361178579502,A
leaf_709,191.324839249871,B
leaf_710,191.315994986176,B
leaf_711,191.253659443348,A
leaf_712,191.143585415469,B
leaf_713,191.086194305176,A
leaf_714,190.966353839778,C
leaf_715,190.962864706773,B
leaf_716,190.951153082449,B
leaf_717,190.917809670897,B
leaf_718,190.916891946768,B
leaf_719,190.878625989931,A
leaf_720,190.843799028673,A
leaf_721,190.823929535746,A
leaf_722,190.799896500607,A
leaf_723,190.758011576806,B
leaf_724,190.735858047458,C
leaf_725,190.722722168842,B
leaf_726,190.715690184406,A
leaf_727,190.645255108303,A
leaf_728,190.636359275497,B
leaf_729,190.618894782207,B
leaf_730,190.602191560933,A
leaf_731,190.472374859124,C
leaf_732,190.414694598937,C
leaf_733,190.391757865968,B
leaf_734,190.328604406696,B
leaf_735,190.319782279267,B
leaf_736,190.302932303646,A
leaf_737,190.284823045723,B
leaf_738,190.275212121189,A
leaf_739,190.242841349049,C
leaf_740,190.241901686507,B
leaf_741,190.237087419061,A
leaf_742,190.224123010439,C
leaf_743,190.207117151732,A
leaf_744,190.185695272343,C
leaf_745,190.164481277148,B
leaf_746,190.144639732607,A
leaf_747,190.086597858492,B
leaf_748,190.02880789093,C
leaf_749,189.94430931508,A
leaf_750,189.909459770201,C
leaf_751,189.888011126929,B
leaf_752,189.857022244685,B
leaf_753,189.850326045568,C
leaf_754,189.80524143504,B
leaf_755,189.773759581357,B
leaf_756,189.762472820583,A
leaf_757,189.753950957326,A
leaf_758,189.710612733608,A
leaf_759,189.597374455809,B
leaf_760,189.589351156011,C
leaf_761,189.512800656995,A
leaf_762,189.47893823159,B
leaf_763,189.466484180627,A
leaf_764,189.454677888389,C
leaf_765,189.416079953856,C
leaf_766,189.414103501104,B
leaf_767,189.3665676104,B
leaf_768,189.273269413524,B
leaf_769,189.244053766862,C
leaf_770,189.238475568053,A
leaf_771,189.181704075923,B
leaf_772,189.166110163944,A
leaf_773,189.162573522193,A
leaf_774,189.120173852864,B
leaf_775,189.042475182818,A
leaf_776,188.973415991562,B
leaf_777,188.950324421103,B
leaf_778,188.909949463884,B
leaf_779,188.830843377883,B
leaf_780,188.766301361846,A
leaf_781,188.752124832417,B
leaf_782,188.704815396872,A
leaf_783,188.692295116187,C
leaf_784,188.659233395946,C
leaf_785,188.639087787569,B
leaf_786,188.627674865183,B
leaf_787,188.626996917549,B
leaf_788,188.563633315254,B
leaf_789,188.519023933051,B
leaf_790,188.513883284132,A
leaf_791,188.472539466281,C
leaf_792,188.455847992517,A
leaf_793,188.366972970297,A
leaf_794,188.294170226098,A
leaf_795,188.293882006772,A
leaf_796,188.286716852724,B
leaf_797,188.266700297139,C
leaf_798,188.251140877283,C
leaf_799,188.232892160361,A
leaf_800,188.133954194939,A
leaf_801,188.100773263382,B
leaf_802,188.036200065864,A
leaf_803,187.909191878846,B
leaf_804,187.880846730453,A
leaf_805,187.861708683335,B
leaf_806,187.83058193273,B
leaf_807,187.817710103407,A
leaf_808,187.784805103704,C
leaf_809,187.78321457109,C
leaf_810,187.770013276066,C
leaf_811,187.732131351421,C
leaf_812,187.721901417987,B
leaf_813,187.705671655289,B
leaf_814,187.703209558094,B
leaf_815,187.690214346322,B
leaf_816,187.585554365328,A
leaf_817,187.482414428473,C
leaf_818,187.35459818143,B
leaf_819,187.346222399238,B
leaf_820,187.283553628925,C
leaf_821,187.221606999408,B
leaf_822,187.17033900007,C
leaf_823,187.060917837198,B
leaf_824,186.973160254307,B
leaf_825,186.932036997168,C
leaf_826,186.896236788278,A
leaf_827,186.831221009763,C
leaf_828,186.821723672455,B
leaf_829,186.813812430667,C
leaf_830,186.792786708986,B
